程序执行时间,染色体路径,适应度,染色体任务说明
624.8150194,16723136783a76293709312b756295132c,2314751.267,"[chromosome] a:1->6->7->2->3->1->3->6->7->8->3
b:7->6->2->9->3->7->0->9->3->1->2
c:7->5->6->2->9->5->1->3->2
"
676.6459289,7569371502a2652193b175716578691c,2316204.465,"[chromosome] a:7->5->6->9->3->7->1->5->0->2
b:2->6->5->2->1->9->3
c:1->7->5->7->1->6->5->7->8->6->9->1
"
598.3892181,17569329470171a26176162868b756265157c,2371366.531,"[chromosome] a:1->7->5->6->9->3->2->9->4->7->0->1->7->1
b:2->6->1->7->6->1->6->2->8->6->8
c:7->5->6->2->6->5->1->5->7
"
547.8508229,267693198538a1762796870913b759895430c,2490291.737,"[chromosome] a:2->6->7->6->9->3->1->9->8->5->3->8
b:1->7->6->2->7->9->6->8->7->0->9->1->3
c:7->5->9->8->9->5->4->3->0
"
523.2565506,26713694a176939659b753c,2140601.213,"[chromosome] a:2->6->7->1->3->6->9->4
b:1->7->6->9->3->9->6->5->9
c:7->5->3
"
